run_id,state_id,gp,branch_id,branch_label,se_raw,se_low_distance,se_high_distance,kabs,k_lower_distance,k_upper_distance,sn_use_branch,sn_branch_distance,sn_switch,pc2_branch,pc_branch_distance,pc_switch
run1,LIMITER_INACT,4,0,SMOOTH,.7333333333333334,.7333323333333334,.2666656666666666,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,1,.4500000000000000E-01,0,0,.1999992499999999,0
run1,RATIO_POS,1,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,2,.4999999999999998E-01,0,0,.2499992500000000,0
run1,RATIO_POS,2,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,2,.4999999999999998E-01,0,0,.2499992500000000,0
run1,RATIO_POS,3,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,2,.4999999999999998E-01,0,0,.2499992500000000,0
run1,RATIO_POS,4,0,SMOOTH,.6666666666666666,.6666656666666666,.3333323333333333,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,2,.4999999999999998E-01,0,0,.2499992500000000,0
run1,RATIO_NEG,1,0,SMOOTH,.8000000000000002,.7999990000000001,.1999989999999998,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,3,.4999999999999998E-01,0,0,.1499992499999999,0
run1,RATIO_NEG,2,0,SMOOTH,.8000000000000002,.7999990000000001,.1999989999999998,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,3,.4999999999999998E-01,0,0,.1499992499999999,0
run1,RATIO_NEG,3,0,SMOOTH,.8000000000000002,.7999990000000001,.1999989999999998,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,3,.4999999999999998E-01,0,0,.1499992499999999,0
run1,RATIO_NEG,4,0,SMOOTH,.8000000000000002,.7999990000000001,.1999989999999998,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,3,.4999999999999998E-01,0,0,.1499992499999999,0
run1,BETA_MIN_POS,1,0,SMOOTH,.4000000000000000,.3999990000000000,.5999989999999999,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,4,.3000000000000000,0,0,.2999992500000000,0
run1,BETA_MIN_POS,2,0,SMOOTH,.4000000000000000,.3999990000000000,.5999989999999999,.6295508183181782E-11,.6295508173181782E-11,.9993704491816818E-08,4,.3000000000000000,0,0,.2999992500000000,0
