run_id,state_id,direction_id,h,pressure_scale,residual_scale,gradient_norm,scaled_norm_fd,scaled_norm_kd,scaled_absolute_error_l2,scaled_absolute_error_inf,nullspace_flag,classification,diagnostic_explanation
run1,LIMITER_INACT,D3,1.00000000000000008E-05,1.00000000000000000E+07,2.08917604893736097E+00,3.75850370392915048E+06,5.16517050182617732E-01,5.16517050172766612E-01,2.81992251717342647E-11,1.93124199226039350E-11,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_INACT,D3,3.00000000000000008E-05,1.00000000000000000E+07,2.08917604893736097E+00,3.75850370392915048E+06,5.16517050172397019E-01,5.16517050172766612E-01,4.67428301620406498E-12,3.55886437179739956E-12,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_INACT,D3,1.00000000000000005E-04,1.00000000000000000E+07,2.08917604893736097E+00,3.75850370392915048E+06,5.16517050172287440E-01,5.16517050172766612E-01,1.26149937332664782E-12,9.12123609896771150E-13,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_INACT,D3,2.99999999999999974E-04,1.00000000000000000E+07,2.08917604893736097E+00,3.75850370392915048E+06,5.16517050172824455E-01,5.16517050172766612E-01,2.08017643580558367E-13,1.45873881913693577E-13,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_INACT,D3,1.00000000000000002E-03,1.00000000000000000E+07,2.08917604893736097E+00,3.75850370392915048E+06,5.16517050172797143E-01,5.16517050172766612E-01,2.47806966212922757E-13,1.94711075894999376E-13,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_INACT,D3,3.00000000000000006E-03,1.00000000000000000E+07,2.08917604893736097E+00,3.75850370392915048E+06,5.16517050172732528E-01,5.16517050172766612E-01,3.45348289653153327E-14,2.48703011787280865E-14,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_INACT,D3,1.00000000000000002E-02,1.00000000000000000E+07,2.08917604893736097E+00,3.75850370392915048E+06,5.16517050172773717E-01,5.16517050172766612E-01,1.54177940293105420E-14,1.13723172056577127E-14,0,CONSISTENT_NUMERICALLY,NONE
run1,LIMITER_OFF,D1,9.99999999999999955E-08,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,2.04457349461380898E-10,1.57700981196308475E-16,2.04457479187016266E-10,1.48796758745556545E-10,1,INCONCLUSIVE,NONE
run1,LIMITER_OFF,D1,2.99999999999999986E-07,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,4.05427558136871006E-10,1.57700981196308475E-16,4.05427652348645595E-10,2.19652300653977570E-10,1,INCONCLUSIVE,NONE
run1,LIMITER_OFF,D1,9.99999999999999955E-07,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,1.21628267441061271E-10,1.57700981196308475E-16,1.21628173229371881E-10,6.58957208057947216E-11,1,INCONCLUSIVE,NONE
run1,LIMITER_OFF,D1,3.00000000000000008E-06,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,1.30891142390905841E-11,1.57700981196308475E-16,1.30889830605680348E-11,9.21113763211747367E-12,1,NULLSPACE_CONSISTENT,NONE
run1,LIMITER_OFF,D1,1.00000000000000008E-05,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,6.05348694236054452E-12,1.57700981196308475E-16,6.05361831335935467E-12,4.25143556683014366E-12,1,NULLSPACE_CONSISTENT,NONE
run1,LIMITER_OFF,D1,3.00000000000000008E-05,1.00000000000000000E+07,3.26433757646462919E+00,0.00000000000000000E+00,1.30891142390905857E-12,1.57700981196308475E-16,1.30904260565074858E-12,9.21207292549513668E-13,1,NULLSPACE_CONSISTENT,NONE
