benchmark,direction_id,sign,point_id,amplitude,z1_norm,root_linear_norm,operator_variation_norm,nonlinear_norm,linear_solve_norm,root_fraction,operator_fraction,nonlinear_fraction,linear_solve_fraction,decomposition_closure,linear_solve_relative_residual,z1_u_norm,root_u_norm,operator_u_norm,nonlinear_u_norm,residual_u_norm,z1_p_norm,root_p_norm,operator_p_norm,nonlinear_p_norm,residual_p_norm,z1_s_norm,root_s_norm,operator_s_norm,nonlinear_s_norm,residual_s_norm,condition_number,branch_preserving,branch_margin_gate_pass,finite,pass
N1,FIELD_S,-1,2,.7500000000000000E-02,3.12055431571361676E-05,4.02935415525541238E-16,6.24103528775534654E-05,3.12048097202551419E-05,3.25904322667738110E-18,3.33464521004228166E-23,8.00003760587261081E-01,1.99996239412738835E-01,2.18151896973005375E-27,2.05118982021584734E-18,1.18059477730781711E-16,1.32850031436850766E-07,4.18561431299883698E-18,2.65694894135542540E-07,1.32844862819510754E-07,1.14828226539736139E-06,1.25706552501868574E-08,2.93881232754248842E-19,2.51407974088087537E-08,1.25701421627333975E-08,2.06119781745747457E-05,3.12052578354940342E-05,4.02913568090458317E-16,6.24097822497746179E-05,3.12045244141178721E-05,1.13837667627742018E-04,4.57447053761993266E+03,1,1,1,1
N1,FIELD_S,-1,3,.5000000000000000E-02,1.38740949674065054E-05,2.68246672424087154E-16,2.77479721109538209E-05,1.38738771433235819E-05,3.33182242696052863E-18,7.47648624443301022E-23,8.00002512029460489E-01,1.99997487970539539E-01,1.15343346170170635E-26,2.39073762181446550E-18,9.07237065438618508E-17,5.90389875921200057E-08,2.84328879912978939E-18,1.18076441492965595E-07,5.90374539236187315E-08,7.65808296104652680E-07,5.58739879791567649E-09,1.98451603050694323E-19,1.11746453126072188E-08,5.58724651540390857E-09,1.37396865795951504E-05,1.38739682262694160E-05,2.68231529825189501E-16,2.77477186332775367E-05,1.38737504067842838E-05,7.59005852313971314E-05,4.58075475304970314E+03,1,1,1,1
N1,FIELD_S,-1,4,.3000000000000000E-02,4.99610411199201841E-06,1.65210641277776467E-16,9.99216108601229669E-06,4.99605697386015179E-06,1.89046030948845213E-18,2.18699599053557654E-22,8.00001509608000871E-01,1.99998490391999101E-01,2.86356522918466673E-26,1.20458570945175556E-18,7.76536534194834006E-17,2.12524582084437020E-08,1.75749986755566442E-18,4.25045847574742170E-08,2.12521265511164130E-08,4.59622682739683774E-07,2.01159060948536101E-09,1.21830163048781785E-19,4.02314828154243903E-09,2.01155767208328269E-09,8.24302849015774327E-06,4.99605850490032460E-06,1.65201248006911392E-16,9.99206987282269556E-06,4.99601136776223176E-06,4.55445788095317332E-05,4.58578895589618242E+03,1,1,1,1
N1,FIELD_S,-1,5,.2000000000000000E-02,2.22080849155103895E-06,1.11337666926454046E-16,4.44160300332979731E-06,2.22079451167098443E-06,1.40580820076925982E-18,5.02684264191070278E-22,8.00001007202735925E-01,1.99998992797264075E-01,8.01425584184603239E-26,2.36613309911783151E-19,3.36281158992847405E-17,9.44518620838180229E-09,1.19227605949782211E-18,1.88902740911170286E-08,9.44508788272942943E-09,3.06461034162419148E-07,8.94068511414566297E-10,8.37883261642075036E-20,1.78812725707416819E-09,8.94058745625667530E-10,5.49509117425180477E-06,2.22078822611346413E-06,1.11331251380465340E-16,4.44156247274919576E-06,2.22077424652795685E-06,3.03644618522420275E-05,4.58830833723327578E+03,1,1,1,1
N1,FIELD_S,-1,6,.1000000000000000E-02,5.55281569021631693E-07,5.56688334632270230E-17,1.11056138901442563E-06,5.55279819937673266E-07,2.42660923952009233E-19,2.01015414459171777E-21,8.00000504001330048E-01,1.99999495998670007E-01,3.81948504462289013E-26,3.94550054637513896E-19,2.06210441801736229E-17,2.36120881591297222E-09,5.96138029748911057E-19,4.72240533448004960E-09,2.36119651828297228E-09,1.53253476798302542E-07,2.23524189465141083E-10,4.18941630821037518E-20,4.47047157429420841E-10,2.23522967936550208E-10,2.74741501087025581E-06,5.55276503757352805E-07,5.56656256902326699E-17,1.11055125852269706E-06,5.55274754710224323E-07,1.51829356120588408E-05,4.59082924000836829E+03,1,1,1,1
N1,FIELD_S,-1,7,.7500000000000000E-03,3.12357054888502443E-07,4.13026603194441168E-17,6.24713371767305799E-07,3.12356316838060383E-07,7.70743345156693931E-20,3.49691148593101642E-21,8.00000378076029639E-01,1.99999621923970250E-01,1.21772200887870555E-26,2.55092098713606226E-19,1.83246622686502075E-17,1.32816761724949431E-09,4.39374966888916105E-19,2.65633004601455787E-09,1.32816242853536191E-09,1.14944412961673946E-07,1.25733349740694436E-10,3.04575407621954462E-20,2.51466184090899943E-10,1.25732834329982647E-10,2.06053677510526979E-06,3.12354205831335278E-07,4.13003120017278481E-17,6.24707673668509441E-07,3.12353467796431825E-07,1.13873338411331735E-05,4.59145970355839381E+03,1,1,1,1
N1,FIELD_S,-1,8,.5000000000000000E-03,1.38830323233020101E-07,2.78344167316135115E-17,2.77660427775876542E-07,1.38830104515366331E-07,3.47142027684503705E-19,8.03945108725581365E-21,8.00000252100888432E-01,1.99999747899111513E-01,1.25047939162099515E-24,3.77248883980755078E-19,3.06981259908218295E-17,5.90291232879409958E-10,2.98069014874455529E-19,1.18058092838768900E-09,5.90289695345354545E-10,7.66324789940262320E-08,5.58819302018219635E-11,2.09470815410518759E-20,1.11763707685434669E-10,5.58817774691087272E-11,1.37367486137203471E-06,1.38829057053828282E-07,2.78328128451163350E-17,2.77657895422096582E-07,1.38828838340778666E-07,7.59164398307496863E-06,4.59209026228602306E+03,1,1,1,1
N1,FIELD_S,-1,9,.3000000000000000E-03,4.99803464353284798E-08,1.60449057151477384E-17,9.99606456450225908E-08,4.99802991935483330E-08,9.78218011227647335E-20,2.06113435777226925E-20,8.00000151284892991E-01,1.99999848715106981E-01,7.66131420259910561E-25,2.30147693908958056E-19,3.96217414524880877E-17,2.12503263702964522E-10,1.68448102220152794E-19,4.25006195418899690E-10,2.12502931615732111E-10,4.59808652137440327E-08,2.01176220081866013E-11,1.17054604887686903E-20,4.02352110346190624E-11,2.01175890184445169E-11,8.24197082248170156E-07,4.99798906305291219E-08,1.60440171910601557E-17,9.99597340364180006E-08,4.99798433897433852E-08,4.55502867295873313E-06,4.59259477780781071E+03,1,1,1,1
N1,FIELD_S,-1,10,.2000000000000000E-03,2.22138050973089386E-08,1.09880191091564464E-17,4.44275962127632640E-08,2.22137911043448266E-08,5.59189919277322410E-20,4.89354089098178381E-20,8.00000100867564234E-01,1.99999899132435766E-01,1.26736899081016429E-24,1.90413066255421467E-19,3.83684128099278427E-17,9.44455437990971716E-11,1.11777207860944704E-19,1.88890989290226815E-10,9.44454454317421466E-11,3.06543694255907113E-08,8.94119358905364052E-12,8.07994875231774062E-21,1.78823774112352418E-11,8.94118381657950762E-12,5.49462109973776365E-07,2.22136025217780081E-08,1.09874475886539817E-17,4.44271910619958066E-08,2.22135885291084485E-08,3.03669987643271276E-06,4.59284705841835603E+03,1,1,1,1
N1,FIELD_S,-1,11,.1000000000000000E-03,5.55353072091014130E-09,5.49400955457822321E-18,1.11070597020665774E-08,5.55352897573231585E-09,8.16397020824785187E-20,1.95735961055177115E-19,8.00000050435725418E-01,1.99999949564274498E-01,4.32209814296629458E-23,1.00300950983705924E-19,6.86213876657142753E-17,2.36112981396670839E-11,5.58886039304723519E-20,4.72225840375497718E-11,2.36112858673978060E-11,1.53274143578934647E-08,2.23530545951581457E-12,4.03997437615887031E-21,4.47060970215003618E-12,2.23530423993830105E-12,2.74729749224390636E-07,5.55348007812239977E-09,5.49372379432699083E-18,1.11069584165277682E-08,5.55347833298132761E-09,1.51835698547612534E-06,4.59309935426349512E+03,1,1,1,1
