state_id,direction_id,h,norm_fd,norm_kpp_phys_d,absolute_error_l2,relative_error_l2,absolute_error_inf,cosine_similarity,observed_slope,branch_crossed,finite,classification
BETA_MIN_POS,D3,1.00000000000000005E-04,3.85608486979317280E-02,3.85608486979083301E-02,3.46097864322423775E-14,8.97536947471250289E-13,3.08954251071469280E-14,9.99999999999999889E-01,-1.4462483431883657,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_POS,D3,2.99999999999999974E-04,3.85608486979032994E-02,3.85608486979083301E-02,7.06582855055686021E-15,1.83238408622996292E-13,5.60489155088106372E-15,1.00000000000000000E+00,-0.4479802553569795,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_POS,D3,1.00000000000000002E-03,3.85608486979063733E-02,3.85608486979083301E-02,4.12025164473377793E-15,1.06850647323985701E-13,3.35842464949109893E-15,9.99999999999999889E-01,-1.4433252385385549,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_POS,D3,3.00000000000000006E-03,3.85608486979086285E-02,3.85608486979083301E-02,8.43883688861814273E-16,2.18844687644953908E-14,7.11236625150490909E-16,1.00000000000000000E+00,-0.5053380072030895,0,1,CONSISTENT_NUMERICALLY
BETA_MIN_POS,D3,1.00000000000000002E-02,3.85608486979085383E-02,3.85608486979083301E-02,4.59253092569562497E-16,1.19098284419884004E-14,3.53883589099268598E-16,1.00000000000000000E+00,,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,9.99999999999999955E-08,4.16666666469035774E-02,4.16666666666666574E-02,2.58456185901108788E-11,6.20294846162661194E-10,2.39761682729877602E-11,1.00000000000000000E+00,-0.9988169153910376,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,2.99999999999999986E-07,4.16666666602754088E-02,4.16666666666666574E-02,8.62641110228871629E-12,2.07033866454929204E-10,8.07453409690239710E-12,1.00000000000000000E+00,-0.969298421589587,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,9.99999999999999955E-07,4.16666666687231513E-02,4.16666666666666574E-02,2.68537294237041196E-12,6.44489506137089704E-11,2.47836473565854516E-12,9.99999999999999778E-01,-1.0646419321018352,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,3.00000000000000008E-06,4.16666666672865782E-02,4.16666666666666574E-02,8.33760496025338652E-13,2.00102519043104194E-11,7.79782488580238464E-13,9.99999999999999889E-01,-0.5006592899488641,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,1.00000000000000008E-05,4.16666666670588923E-02,4.16666666666666574E-02,4.56307085853823982E-13,1.09513700603886898E-11,3.15379666826487387E-13,1.00000000000000000E+00,-1.5490755446678668,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,3.00000000000000008E-05,4.16666666666035274E-02,4.16666666666666574E-02,8.32070922257992030E-14,1.99697021341918087E-12,7.67372276833100386E-14,1.00000000000000000E+00,-0.7884608707393979,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,1.00000000000000005E-04,4.16666666666666921E-02,4.16666666666666574E-02,3.22025982937483280E-14,7.72862359049959671E-13,2.28914109889899496E-14,1.00000000000000000E+00,-3.938700816586887,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,2.99999999999999974E-04,4.16666666666670529E-02,4.16666666666666574E-02,4.25258535220589618E-16,1.02062048452940597E-14,2.42861286636752993E-16,9.99999999999999889E-01,1.513733904728865,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,1.00000000000000002E-03,4.16666666666685934E-02,4.16666666666666574E-02,2.63119068963332714E-15,6.31485765511969356E-14,2.48065457064683415E-15,9.99999999999999778E-01,-3.5341061468228383,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,3.00000000000000006E-03,4.16666666666666227E-02,4.16666666666666574E-02,5.41944938641420874E-17,1.30066785273941010E-15,4.85722573273505986E-17,1.00000000000000000E+00,1.7734557768490957,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D1,1.00000000000000002E-02,4.16666666666670529E-02,4.16666666666666574E-02,4.58413602608989151E-16,1.10019264626156394E-14,3.12250225675825277E-16,1.00000000000000000E+00,,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D2,9.99999999999999955E-08,4.62962961993466666E-03,4.62962962967160361E-03,6.18550519602166129E-11,1.33606912232856608E-08,4.59326266258330775E-11,9.99999999999999889E-01,-1.807005027056787,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D2,2.99999999999999986E-07,4.62962962761443060E-03,4.62962962967160361E-03,8.49600325768838975E-12,1.83513670364405394E-09,7.98555058884042879E-12,9.99999999999999889E-01,-1.025659190877534,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D2,9.99999999999999955E-07,4.62962963004485105E-03,4.62962962967160361E-03,2.47126477859328716E-12,5.33793192128275143E-10,1.85980744693559115E-12,1.00000000000000000E+00,-0.9831834204166349,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D2,3.00000000000000008E-06,4.62962962992739639E-03,4.62962962967160361E-03,8.39115169463122484E-13,1.81248876592377012E-10,7.96487008292157128E-13,1.00000000000000000E+00,-2.1136278366717094,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D2,1.00000000000000008E-05,4.62962962973314292E-03,4.62962962967160361E-03,6.58643637751057331E-14,1.42267025751047492E-11,4.83883766388970571E-14,9.99999999999999889E-01,0.19048957577378547,0,1,CONSISTENT_NUMERICALLY
FINAL_CLIP_HIGH,D2,3.00000000000000008E-05,4.62962962965273242E-03,4.62962962967160361E-03,8.11964658252505755E-14,1.75384366180951096E-11,7.44885923775751024E-14,9.99999999999999889E-01,-1.0926051933627123,0,1,CONSISTENT_NUMERICALLY
