run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,observed_slope,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,classification
run1,I0,KPU,D3,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.5988071698568799E-07,.5988071690736757E-07,.1047953790556291E-15,.1750068875773083E-08,.8814465724122625E-16,.2210026791053526E-08,.9999999999999998,-8.7982216284042647e-01,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.5988071691357206E-07,.5988071690736757E-07,.3022612273278022E-15,.5047722253627432E-08,.2293168129111280E-15,.5749597498331457E-08,1.000000000000000,-1.0579649375429747e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.5988071697206305E-07,.5988071690736757E-07,.9664068506613104E-15,.1613886572387203E-07,.8182786635455770E-15,.2051647618701221E-07,.9999999999999998,-1.1490685358200610e+00,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.5988071418530480E-07,.5988071690736757E-07,.3854637251693556E-14,.6437192890753936E-07,.2311782022234328E-14,.5796267601572410E-07,.9999999999999987,-9.6277762389879507e-01,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPU,D3,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.5988072274632732E-07,.5988071690736757E-07,.1110056750206692E-13,.1853779813094816E-06,.8981990603411380E-14,.2252029786708303E-06,.9999999999999877,-9.6277762389879507e-01,1,1,1,1,0,KNOWN_OMISSION_CONFIRMED
run1,I0,KPP,D1,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.4166672083333275E-01,.4167672083333333E-01,.1000000000058246E-04,.2399421019847701E-03,.5000000000501131E-05,.2399421019948430E-03,1.000000000000000,-1.1296101288190267e-10,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.4166672083333139E-01,.4167672083333333E-01,.1000000000194248E-04,.2399421020174028E-03,.5000000001885441E-05,.2399421020612738E-03,.9999999999999999,1.7716499526390079e-10,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.4166672083333334E-01,.4167672083333333E-01,.9999999999996123E-05,.2399421019707014E-03,.5000000002045035E-05,.2399421020689324E-03,.9999999999999998,5.3728649529882004e-10,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.4166672083333980E-01,.4167672083333333E-01,.9999999993527339E-05,.2399421018154881E-03,.5000000000338067E-05,.2399421019870178E-03,.9999999999999998,-5.8881409215845913e-09,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.4166672083327511E-01,.4167672083333333E-01,.1000000005821518E-04,.2399421033676217E-03,.5000000046342934E-05,.2399421041947186E-03,1.000000000000000,2.0951149569588567e-08,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.4166672083352736E-01,.4167672083333333E-01,.9999999805969037E-05,.2399420973151747E-03,.4999999940677458E-05,.2399420991239993E-03,1.000000000000000,-5.2979372629168258e-08,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.4166672083294532E-01,.4167672083333333E-01,.1000000038800694E-04,.2399421112807144E-03,.5000000541648120E-05,.2399421279636321E-03,1.000000000000000,-1.2893766072314839e-07,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.4166672083139294E-01,.4167672083333333E-01,.1000000194038149E-04,.2399421485287157E-03,.5000001401099519E-05,.2399421692073471E-03,1.000000000000000,-7.6748537841002098e-11,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.4166672083139211E-01,.4167672083333333E-01,.1000000194122466E-04,.2399421485489471E-03,.5000001824899403E-05,.2399421895448342E-03,.9999999999999999,1.2357095493687457e-06,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.4166672084626971E-01,.4167672083333333E-01,.9999987063625924E-05,.2399417915727157E-03,.4999999248227888E-05,.2399420658944383E-03,.9999999999999998,-1.1771367407062743e-06,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D1,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.4166672083333763E-01,.4167672083333333E-01,.9999999995786444E-05,.2399421018696935E-03,.5000034658437374E-05,.2399437651744574E-03,1.000000000000000,-1.1771367406325636e-06,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.2608213663885926E-01,.2609213663535690E-01,.1000000000017827E-04,.3832572295603987E-03,.5000000000091737E-05,.3828275676115806E-03,.9999999999999485,-8.0682024702737950e-12,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.2608213663885916E-01,.2609213663535690E-01,.1000000000027541E-04,.3832572295641218E-03,.5000000001340738E-05,.3828275677072111E-03,.9999999999999487,-6.6082492107496266e-11,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.2608213663885843E-01,.2609213663535690E-01,.1000000000100140E-04,.3832572295919456E-03,.5000000005209171E-05,.3828275680033997E-03,.9999999999999485,2.0942543564129139e-10,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.2608213663886096E-01,.2609213663535690E-01,.9999999998479975E-05,.3832572294953103E-03,.5000000004968044E-05,.3828275679849376E-03,.9999999999999487,1.2463942163257905e-09,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.2608213663887466E-01,.2609213663535690E-01,.9999999984786935E-05,.3832572289705147E-03,.5000000015503020E-05,.3828275687915535E-03,.9999999999999487,-1.5858527560467832e-09,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.2608213663885549E-01,.2609213663535690E-01,.1000000000388017E-04,.3832572297022766E-03,.5000000084347256E-05,.3828275740626478E-03,.9999999999999485,-4.5601909854234022e-09,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.2608213663880519E-01,.2609213663535690E-01,.1000000005397899E-04,.3832572316223502E-03,.5000000288857276E-05,.3828275897210625E-03,.9999999999999485,1.8197712761987960e-08,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.2608213663902530E-01,.2609213663535690E-01,.9999999834883479E-05,.3832572232253564E-03,.5000000740220181E-05,.3828276242798951E-03,.9999999999999484,3.9061123832801561e-08,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.2608213663945509E-01,.2609213663535690E-01,.9999999405753188E-05,.3832572067786277E-03,.5000001418044298E-05,.3828276761778467E-03,.9999999999999487,1.8410700326731212e-07,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.2608213664165954E-01,.2609213663535690E-01,.9999997189155314E-05,.3832571218259117E-03,.5000013807791512E-05,.3828286248052045E-03,.9999999999999487,-1.2499492531664298e-06,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D2,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.2608213662790764E-01,.2609213663535690E-01,.1000001092125698E-04,.3832576481186355E-03,.5000059713817021E-05,.3828321396236213E-03,.9999999999999490,-1.2499492531747814e-06,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.4069962516503978E-01,.4070955059161876E-01,.9999999999533934E-05,.2456426036202110E-03,.7557465783732814E-05,.2550440666080481E-03,.9999999995515906,-1.8548797018209997e-11,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.4069962516503956E-01,.4070955059161876E-01,.9999999999757256E-05,.2456426036256968E-03,.7557465784926304E-05,.2550440666483252E-03,.9999999995515905,-3.2484281309176279e-10,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.4069962516503654E-01,.4070955059161876E-01,.1000000000332602E-04,.2456426037133609E-03,.7557465784957529E-05,.2550440666493789E-03,.9999999995515905,7.6508561475384883e-10,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.4069962516504552E-01,.4070955059161876E-01,.9999999994114597E-05,.2456426034870890E-03,.7557465783566281E-05,.2550440666024281E-03,.9999999995515902,3.3023892509548121e-09,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.4069962516508503E-01,.4070955059161876E-01,.9999999957834143E-05,.2456426025958865E-03,.7557465775118177E-05,.2550440663173274E-03,.9999999995515905,-1.2380063076698350e-09,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.4069962516507087E-01,.4070955059161876E-01,.9999999972739402E-05,.2456426029620232E-03,.7557465848819639E-05,.2550440688045527E-03,.9999999995515905,-1.5118555296437790e-08,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.4069962516495509E-01,.4070955059161876E-01,.1000000013883371E-04,.2456426070420068E-03,.7557465766531296E-05,.2550440660275433E-03,.9999999995515901,1.2178588568238614e-07,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.4069962516634513E-01,.4070955059161876E-01,.9999998672564855E-05,.2456425710241970E-03,.7557465029426474E-05,.2550440411522456E-03,.9999999995515907,5.5138664700049623e-07,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.4069962517218857E-01,.4070955059161876E-01,.9999992614966032E-05,.2456424222237624E-03,.7557461834558493E-05,.2550439333340767E-03,.9999999995515922,-8.6700135707213697e-08,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.4069962517151678E-01,.4070955059161876E-01,.9999993658811371E-05,.2456424478650511E-03,.7557476101417021E-05,.2550444148020345E-03,.9999999995515900,4.4562003228532153e-06,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPP,D3,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.4069962521840751E-01,.4070955059161876E-01,.9999944702597896E-05,.2456412452918769E-03,.7557433594481550E-05,.2550429803077222E-03,.9999999995516043,4.4562003228381941e-06,1,1,1,1,0,APPROXIMATE_BOUNDED
run1,I0,KPS,D1,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.6550188703341724E-06,.6550188703342731E-06,.1687223036594060E-18,.2575838823899876E-12,.1541070568410793E-18,.3506506324440552E-12,1.000000000000000,-7.5468859994125237e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.6550188703340809E-06,.6550188703342731E-06,.4185844827319604E-18,.6390418683943349E-12,.2976526716210815E-18,.6772700724550672E-12,.9999999999999999,-8.1139844220651125e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.6550188703338599E-06,.6550188703342731E-06,.1020748070068035E-17,.1558349104579415E-11,.8317334146445195E-18,.1892501575515827E-11,1.000000000000000,-1.3581409595596492e+00,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.6550188703322813E-06,.6550188703342731E-06,.5236747189767100E-17,.7994803549849872E-11,.4784545011904721E-17,.1088661200057042E-10,1.000000000000000,-4.9986773070827922e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.6550188703291242E-06,.6550188703342731E-06,.9068994263551825E-17,.1384539388754355E-10,.7607996992678922E-17,.1731101100624102E-10,1.000000000000000,-1.2116287485147506e+00,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.6550188703363916E-06,.6550188703342731E-06,.3900264381977974E-16,.5954430564687324E-10,.3474365037003609E-16,.7905467293578721E-10,1.000000000000000,-1.3230161163295662e+00,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.6550188704531879E-06,.6550188703342731E-06,.1668526683517732E-15,.2547295595260223E-09,.1194469450954661E-15,.2717860408045554E-09,1.000000000000000,-6.0607089936265301e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.6550188700270384E-06,.6550188703342731E-06,.3461264178773988E-15,.5284220555367534E-09,.2814811715316616E-15,.6404739201557480E-09,1.000000000000000,-7.5304595148086118e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.6550188703109695E-06,.6550188703342731E-06,.7916422728968829E-15,.1208579338321791E-08,.7275860021588342E-15,.1655527638020721E-08,.9999999999999999,-1.2134243277555905e+00,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.6550188733097055E-06,.6550188703342731E-06,.3411950854781641E-14,.5208935183106404E-08,.2824306319380626E-14,.6426342917072951E-08,.9999999999999999,-9.4003834820972443e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D1,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.6550188774147634E-06,.6550188703342731E-06,.9583299106263689E-14,.1463056934189007E-07,.7742743470384169E-14,.1761760896773649E-07,.9999999999999999,-9.4003834820972443e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.7407407399847411E-10,.7407407407406022E-10,.1031389315831713E-18,.1392375576373073E-08,.6956588951570963E-19,.1878279016156379E-08,1.000000000000000,-1.3832921813505976e+00,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.7407407372318840E-10,.7407407407406022E-10,.5454019776466899E-18,.7362926698231691E-08,.4930261148612062E-18,.1331170507551535E-07,.9999999999999999,-8.7941921397883416e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.7407407435846312E-10,.7407407407406022E-10,.1433198375311521E-17,.1934817799242300E-07,.1201039779647394E-17,.3242807299894705E-07,.9999999999999999,-1.0359751812935307e+00,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.7407407308791386E-10,.7407407407406022E-10,.4988795595847892E-17,.6734874054395915E-07,.4728247092952013E-17,.1276626683432466E-06,.9999999999999978,-3.9252566603845468e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.7407407097033166E-10,.7407407407406022E-10,.7678529345877063E-17,.1036601461693597E-06,.4728296730251115E-17,.1276639988180842E-06,.9999999999999956,-1.6344815221643654e+00,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.7407408296998458E-10,.7407407407406022E-10,.5494316785439963E-16,.7417326769561636E-06,.4327028657617521E-16,.1168296372638653E-05,.9999999999997321,-6.8821662524469507e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.7407400532533845E-10,.7407407407406022E-10,.1170244141547778E-15,.1579829591089796E-05,.9790187129738740E-16,.2643348444362748E-05,.9999999999991825,-6.8041473671206454e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.7407394885678470E-10,.7407407407406022E-10,.2654916578558513E-15,.3584137381054663E-05,.2390740291709500E-15,.6454991246263603E-05,.9999999999950058,-1.9597792080866516e+00,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.7407345478655196E-10,.7407407407406022E-10,.2286141956797488E-14,.3086291641677186E-04,.2215484239433138E-14,.5981754857307437E-04,.9999999995586843,-6.2642636433907362e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.7407656065904057E-10,.7407407407406022E-10,.4860133799808455E-14,.6560960385537697E-04,.3713746447595246E-14,.1002611007889321E-03,.9999999984110344,-3.4564551485799938e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
run1,I0,KPS,D2,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.7407514915270039E-10,.7407407407406022E-10,.7104983068486664E-14,.9591587934356058E-04,.4756583051417537E-14,.1284148660816373E-03,.9999999955053254,-3.4564551485799933e-01,1,1,1,1,0,CONSISTENT_NUMERICALLY
