run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,observed_slope,row_classification,series_classification
run1,I1,KSU,D1,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D1,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D1,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D1,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D1,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D1,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D1,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D1,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D1,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D1,.1000000000000000E-06,-1,SMOOTH,SMOOTH,.000000000000000,.2339620081609153E-23,.2339620081609153E-23,1.000000000000000,.1654361225106055E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.1000000000000000E-01,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.3000000000000000E-02,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.1000000000000000E-02,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.3000000000000000E-03,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.1000000000000000E-03,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.3000000000000000E-04,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.1000000000000000E-04,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.3000000000000000E-05,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.1000000000000000E-05,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSU,D2,.3000000000000000E-06,-1,SMOOTH,SMOOTH,.000000000000000,.5231549544001671E-23,.5231549544001671E-23,1.000000000000000,.4963083675318166E-23,1.000000000000000,.000000000000000,1,1,1,1,0,-0.00000000000000000e+00,NULLSPACE,NULLSPACE_CONSISTENT
