run_id,state_id,direction_id,h,norm_scaled_fd,norm_scaled_kv,absolute_error_scaled_l2,relative_error_scaled_l2,absolute_error_scaled_inf,relative_error_scaled_inf,cosine_similarity,branch_id_plus,branch_id_minus,finite,branch_crossed,strict_point_pass,roundoff_explained_point,max_error_to_roundoff_bound,series_classification,series_pass,series_explained
run2,LIMITER_INACT,M3,3.00000000000000008E-06,1.69555879510324492E+00,1.69555879501121098E+00,2.40831238102728996E-10,1.42036500767916201E-10,1.39611322502730698E-10,2.42495178258470507E-10,9.99999999999999889E-01,I3B_1,I3B_1,1,0,1,0,2.91994017991073846E+01,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_INACT,M3,1.00000000000000008E-05,1.69555879494146700E+00,1.69555879501121098E+00,1.02544371806121795E-10,6.04782164486627369E-11,5.66130475831982884E-11,9.83329347696960305E-11,9.99999999999999889E-01,I3B_1,I3B_1,1,0,1,0,1.28555595732909449E+01,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_INACT,M3,3.00000000000000008E-05,1.69555879500644791E+00,1.69555879501121098E+00,1.30394619935569793E-11,7.69036262966673800E-12,7.70472574629366136E-12,1.33825739219441398E-11,9.99999999999999889E-01,I3B_1,I3B_1,1,0,1,0,2.11489767495436887E+01,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_INACT,M3,1.00000000000000005E-04,1.69555879501281792E+00,1.69555879501121098E+00,5.17361546129724963E-12,3.05127458659322992E-12,3.07609493432892082E-12,5.34296342337396329E-12,9.99999999999999889E-01,I3B_1,I3B_1,1,0,1,0,1.37435736495245049E+01,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_INACT,M3,2.99999999999999974E-04,1.69555879500824003E+00,1.69555879501121098E+00,3.79218684700381411E-12,2.23654104957105907E-12,2.27207141989538286E-12,3.94643037713747993E-12,1.00000000000000000E+00,I3B_1,I3B_1,1,0,1,0,1.03177781061032459E+01,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_INACT,M3,1.00000000000000002E-03,1.69555879501038098E+00,1.69555879501121098E+00,1.18435813457060201E-12,6.98506084280475612E-13,6.79678535675520834E-13,1.18055444753655799E-12,1.00000000000000000E+00,I3B_1,I3B_1,1,0,1,0,1.63745641908796991E+01,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_INACT,M3,3.00000000000000006E-03,1.69555879501083195E+00,1.69555879501121098E+00,2.74119114106138716E-12,1.61668893412998000E-12,1.81202687403458906E-12,3.14736492755533181E-12,9.99999999999999889E-01,I3B_1,I3B_1,1,0,1,0,4.42107176597940736E+02,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_INACT,M3,1.00000000000000002E-02,1.69555879501129803E+00,1.69555879501121098E+00,3.00532982509681032E-11,1.77247160873403107E-11,2.01333129855318894E-11,3.49701674264174373E-11,9.99999999999999667E-01,I3B_1,I3B_1,1,0,1,0,1.63840859618369977E+04,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,9.99999999999999955E-08,6.06318119736035333E-01,6.06318119418979395E-01,5.72402127465536786E-09,9.44062380511959533E-09,4.72698141148656477E-09,1.90146413214274901E-08,9.99999999999999889E-01,I3B_0,I3B_0,1,0,1,0,2.77015305290646374E+00,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,2.99999999999999986E-07,6.06318118859652588E-01,6.06318119418979395E-01,2.56170446930145984E-09,4.22501717704937128E-09,1.39129665446877203E-09,5.59659633882154899E-09,1.00000000000000000E+00,I3B_0,I3B_0,1,0,1,0,2.04964614146833348E+01,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,9.99999999999999955E-07,6.06318119673529776E-01,6.06318119418979395E-01,4.58375920002371884E-10,7.55999045928535116E-10,2.16915242002465301E-10,8.72558016318130382E-10,9.99999999999999889E-01,I3B_0,I3B_0,1,0,1,0,1.22601258743114006E+01,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,3.00000000000000008E-06,6.06318119397738053E-01,6.06318119418979395E-01,1.11909752335668099E-10,1.84572666973747391E-10,5.52357374892879978E-11,2.22189944331240292E-10,1.00000000000000000E+00,I3B_0,I3B_0,1,0,1,0,3.60324004996501568E+00,CONSISTENT_NUMERICALLY,1,0
run2,LIMITER_OFF,M1,1.00000000000000008E-05,6.06318119402566080E-01,6.06318119418979395E-01,6.75283175201125603E-11,1.11374401254614296E-10,3.30919724572155080E-11,1.33114969624612700E-10,9.99999999999999889E-01,I3B_0,I3B_0,1,0,1,0,1.36819550324645380E+01,CONSISTENT_NUMERICALLY,1,0
