run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,finite,branch_crossed_bool,residual_scale,null_candidate,scaled_norm_fd,scaled_norm_kv,scaled_absolute_error_l2,scaled_absolute_error_inf,roundoff_floor,strict_point_pass,roundoff_explained_point,observed_slope,series_classification,series_pass,series_explained
run1,BETA_MIN_NEG,KPP,D2,3.00000000000000008E-05,-1,I3B_5,I3B_5,2.32829872093184287E-02,2.32829872094275116E-02,1.39651739318180003E-13,5.99801640837708572E-12,1.12816006536675698E-13,9.69085328457320026E-12,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872093184287E-02,2.32829872094275116E-02,1.39651739318180003E-13,1.12816006536675698E-13,1.78823366232449296E-14,1,0,-1.06839759219228103E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,1.00000000000000008E-05,-1,I3B_5,I3B_5,2.32829872095149312E-02,2.32829872094275116E-02,1.20644861911164391E-13,5.18167453452283265E-12,1.04022693236949200E-13,8.93551092051452375E-12,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872095149312E-02,2.32829872094275116E-02,1.20644861911164391E-13,1.04022693236949200E-13,5.36470098697347858E-14,1,0,1.33168492860912979E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,3.00000000000000008E-06,-1,I3B_5,I3B_5,2.32829872102625901E-02,2.32829872094275116E-02,1.50040323108521193E-12,6.44420416304601135E-11,1.48818804501793502E-12,1.27834803278602599E-10,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872102625901E-02,2.32829872094275116E-02,1.50040323108521193E-12,1.48818804501793502E-12,1.78823366232449290E-13,1,0,-2.09360041868364055E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,9.99999999999999955E-07,-1,I3B_5,I3B_5,2.32829872091422502E-02,2.32829872094275116E-02,2.84509632658714307E-12,1.22196361703756594E-10,2.37879854703137994E-12,2.04337916378419312E-10,9.99999999999999778E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872091422502E-02,2.32829872094275116E-02,2.84509632658714307E-12,2.37879854703137994E-12,5.36470098697347946E-13,1,0,-5.82428431884513986E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,2.99999999999999986E-07,-1,I3B_5,I3B_5,2.32829872028538706E-02,2.32829872094275116E-02,1.15111843180824698E-11,4.94403240208863030E-10,1.05825938290227096E-11,9.09040900247237640E-10,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872028538706E-02,2.32829872094275116E-02,1.15111843180824698E-11,1.05825938290227096E-11,1.78823366232449315E-12,1,0,-1.16092504906909211E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D2,9.99999999999999955E-08,-1,I3B_5,I3B_5,2.32829872196590112E-02,2.32829872094275116E-02,6.48641724881216453E-11,2.78590422595574616E-09,4.13016565392609891E-11,3.54779702770418905E-09,9.99999999999999778E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,2.32829872196590112E-02,2.32829872094275116E-02,6.48641724881216453E-11,4.13016565392609891E-11,5.36470098697347906E-12,1,0,-1.57378206555665745E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,1.00000000000000002E-02,-1,I3B_5,I3B_5,4.01924342862155920E-02,4.01924342862153700E-02,6.11351600826110495E-16,1.52106139297907599E-14,3.92047505570758403E-16,1.37170771091006794E-14,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342862155920E-02,4.01924342862153700E-02,6.11351600826110495E-16,3.92047505570758403E-16,5.36470098697347911E-17,1,0,,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,3.00000000000000006E-03,-1,I3B_5,I3B_5,4.01924342862154393E-02,4.01924342862153700E-02,1.00113836065921599E-15,2.49086271692324485E-14,6.62664367823140310E-16,2.31855020162678413E-14,1.00000000000000000E+00,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342862154393E-02,4.01924342862153700E-02,1.00113836065921599E-15,6.62664367823140310E-16,1.78823366232449299E-16,1,0,-4.09661036637362530E-01,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,1.00000000000000002E-03,-1,I3B_5,I3B_5,4.01924342862139128E-02,4.01924342862153700E-02,6.63074761691116972E-15,1.64975019171339189E-13,5.64479019082853029E-15,1.97501632358452110E-13,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342862139128E-02,4.01924342862153700E-02,6.63074761691116972E-15,5.64479019082853029E-15,5.36470098697347874E-16,1,0,-1.72087993813198237E+00,CONSISTENT_NUMERICALLY,1,0
run1,BETA_MIN_NEG,KPP,D3,2.99999999999999974E-04,-1,I3B_5,I3B_5,4.01924342862112691E-02,4.01924342862153700E-02,8.00239220919964288E-15,1.99101954169125512E-13,7.04124258898986000E-15,2.46361132680709913E-13,9.99999999999999889E-01,1,1,1,1,0,1,0,1.00000000000000000E+00,0,4.01924342862112691E-02,4.01924342862153700E-02,8.00239220919964288E-15,7.04124258898986000E-15,1.78823366232449304E-15,1,0,-1.56168778798469687E-01,CONSISTENT_NUMERICALLY,1,0
