run_id,state_id,block_id,direction_id,h,sigma,branch_id_plus,branch_id_minus,norm_fd,norm_kv,absolute_error_l2,relative_error_l2,absolute_error_inf,relative_error_inf,cosine_similarity,rhs_finite,amatrx_finite,candidate_svars_finite,replay_exact,branch_crossed,observed_slope,residual_characteristic_scale,scaled_norm_fd,scaled_norm_kv,scaled_absolute_error_l2,scaled_absolute_error_inf,row_classification,series_classification
run1,I1,KPU,D3,.3000000000000000E-05,-1,I3B_0,I3B_0,.5988073304684679E-07,.5988071690736757E-07,.2294068413521670E-13,.3831062675413375E-06,.1858169734116593E-13,.4658936982391864E-06,.9999999999999628,1,1,1,1,0,-1.09967913301505527e+00,1.00000000000000000e+00,5.98807330468467879e-08,5.98807169073675747e-08,2.29406841352166988e-14,1.85816973411659288e-14,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KPU,D3,.1000000000000000E-05,-1,I3B_0,I3B_0,.5988063752823379E-07,.5988071690736757E-07,.1717931342916639E-12,.2868922470608011E-05,.1621186647419573E-12,.4064754078352665E-05,.9999999999967631,1,1,1,1,0,-1.83265664518456783e+00,1.00000000000000000e+00,5.98806375282337925e-08,5.98807169073675747e-08,1.71793134291663911e-13,1.62118664741957289e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KPU,D3,.3000000000000000E-06,-1,I3B_0,I3B_0,.5988052879126717E-07,.5988071690736757E-07,.3000471823872223E-12,.5010747998414583E-05,.2705388819905077E-12,.6783142617626584E-05,.9999999999923807,1,1,1,1,0,-4.63173827130176796e-01,1.00000000000000000e+00,5.98805287912671704e-08,5.98807169073675747e-08,3.00047182387222292e-13,2.70538881990507682e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KPU,D3,.1000000000000000E-06,-1,I3B_0,I3B_0,.5988050262106858E-07,.5988071690736757E-07,.3457208494999712E-12,.5773492158331768E-05,.2705388819905077E-12,.6783142617626584E-05,.9999999999897362,1,1,1,1,0,-1.28973542913838807e-01,1.00000000000000000e+00,5.98805026210685770e-08,5.98807169073675747e-08,3.45720849499971189e-13,2.70538881990507682e-13,SMOOTH_INTERIOR,CONSISTENT_NUMERICALLY
run1,I1,KSP,D1,.1000000000000000E-01,-1,I3B_0,I3B_0,.000000000000000,.4335559509131367E-15,.4335559509131367E-15,1.000000000000000,.3330669073875470E-15,1.000000000000000,.000000000000000,1,1,1,1,0,,1.00000000000000000e+00,0.00000000000000000e+00,4.33555950913136699e-16,4.33555950913136699e-16,3.33066907387547011e-16,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D1,.3000000000000000E-02,-1,I3B_0,I3B_0,.2293365961841351E-13,.4335559509131367E-15,.2315641914527048E-13,1.009713213266587,.1652381934983775E-13,1.020571428571428,-.5068394063812014,1,1,1,1,0,-3.30406669979198053e+00,1.00000000000000000e+00,2.29336596184135097e-14,4.33555950913136699e-16,2.31564191452704809e-14,1.65238193498377507e-14,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D1,.1000000000000000E-02,-1,I3B_0,I3B_0,.1291641132174662E-12,.4335559509131367E-15,.1289365063033692E-12,.9982378471200135,.8987255384340642E-13,.9963076923076923,.5261927962696487,1,1,1,1,0,-1.56292449548880907e+00,1.00000000000000000e+00,1.29164113217466194e-13,4.33555950913136699e-16,1.28936506303369211e-13,8.98725538434064219e-14,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D1,.3000000000000000E-03,-1,I3B_0,I3B_0,.000000000000000,.4335559509131367E-15,.4335559509131367E-15,1.000000000000000,.3330669073875470E-15,1.000000000000000,.000000000000000,1,1,1,1,0,4.73021856205578661e+00,1.00000000000000000e+00,0.00000000000000000e+00,4.33555950913136699e-16,4.33555950913136699e-16,3.33066907387547011e-16,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D1,.1000000000000000E-03,-1,I3B_0,I3B_0,.1931160993126569E-11,.4335559509131367E-15,.1931379934810845E-11,1.000113373087514,.1318722908649761E-11,1.000252631578947,-.5049069838621328,1,1,1,1,0,-7.64757915822081813e+00,1.00000000000000000e+00,1.93116099312656915e-12,4.33555950913136699e-16,1.93137993481084488e-12,1.31872290864976094e-12,NULLSPACE,NULLSPACE_CONSISTENT
run1,I1,KSP,D1,.3000000000000000E-04,-1,I3B_0,I3B_0,.4305470440582207E-11,.4335559509131367E-15,.4305242322350117E-11,.9999470166535254,.3006520958119078E-11,.9998892307692308,.5261927962696487,1,1,1,1,0,-6.65794677784058653e-01,1.00000000000000000e+00,4.30547044058220712e-12,4.33555950913136699e-16,4.30524232235011728e-12,3.00652095811907795e-12,NULLSPACE,NULLSPACE_CONSISTENT
