state_id,direction_id,h,norm_fd,norm_kpp_raw_d,absolute_error_l2,relative_error_l2,absolute_error_inf,cosine_similarity,observed_slope,branch_crossed,finite,classification
FINAL_CLIP_HIGH,D2,9.99999999999999955E-08,4.62962961993466666E-03,4.63962962967160494E-03,1.00000097371257099E-05,2.15534655464158509E-03,5.00004593262642211E-06,9.99999999999999889E-01,-1.807005027056787,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,2.99999999999999986E-07,4.62962962761443060E-03,4.63962962967160494E-03,1.00000020571768598E-05,2.15534489934806912E-03,5.00000798555038511E-06,1.00000000000000000E+00,-1.025659190877534,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,9.99999999999999955E-07,4.62962963004485105E-03,4.63962962967160494E-03,9.99999962675418553E-06,2.15534437550826382E-03,5.00000185980897793E-06,9.99999999999999889E-01,-0.9831834204166349,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,3.00000000000000008E-06,4.62962962992739639E-03,4.63962962967160494E-03,9.99999974420922719E-06,2.15534440082387193E-03,5.00000017929561058E-06,1.00000000000000000E+00,-2.1136278366717094,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,1.00000000000000008E-05,4.62962962973314292E-03,4.63962962967160494E-03,9.99999993846201196E-06,2.15534444269203799E-03,4.99999998413835217E-06,1.00000000000000000E+00,0.19048957577378547,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,3.00000000000000008E-05,4.62962962965273242E-03,4.63962962967160494E-03,1.00000000188736008E-05,2.15534446002350498E-03,5.00000007448838865E-06,1.00000000000000000E+00,-1.0926051933627123,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,1.00000000000000005E-04,4.62962962967459601E-03,4.63962962967160494E-03,9.99999999700892928E-06,2.15534445531091485E-03,5.00000001666441735E-06,1.00000000000000000E+00,-2.9648219997215177,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,2.99999999999999974E-04,4.62962962967143361E-03,4.63962962967160494E-03,1.00000000001708999E-05,2.15534445599242785E-03,5.00000000076264092E-06,1.00000000000000000E+00,0.9239017549271066,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,1.00000000000000002E-03,4.62962962967183173E-03,4.63962962967160494E-03,9.99999999977364482E-06,2.15534445590680711E-03,5.00000000202855538E-06,9.99999999999999889E-01,-3.755649807696332,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,3.00000000000000006E-03,4.62962962967160534E-03,4.63962962967160494E-03,9.99999999999937571E-06,2.15534445595546003E-03,5.00000000002278136E-06,1.00000000000000000E+00,0.6457331577809476,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D2,1.00000000000000002E-02,4.62962962967169035E-03,4.63962962967160494E-03,9.99999999991459110E-06,2.15534445593718602E-03,4.99999999996857125E-06,1.00000000000000000E+00,,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,9.99999999999999955E-08,3.80536504619692767E-02,3.80630719810339177E-02,9.99998165693892874E-06,2.62721350024551980E-04,7.55745974355750971E-06,9.99999996121820445E-01,-0.6835970806469164,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,2.99999999999999986E-07,3.80536504546838128E-02,3.80630719810339177E-02,9.99999276097756154E-06,2.62721641751889091E-04,7.55746733297271711E-06,9.99999996121791135E-01,-1.5232245100474642,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,9.99999999999999955E-07,3.80536504451810809E-02,3.80630719810339177E-02,9.99999856903165719E-06,2.62721794342150319E-04,7.55746478509761177E-06,9.99999996121812673E-01,-0.22464440377048658,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,3.00000000000000008E-06,3.80536504449464977E-02,3.80630719810339177E-02,9.99999865884321958E-06,2.62721796701696091E-04,7.55746467667739537E-06,9.99999996121813894E-01,-1.3802162751828035,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,1.00000000000000008E-05,3.80536504433166070E-02,3.80630719810339177E-02,1.00000000166810696E-05,2.62721832375060907E-04,7.55746553320058023E-06,9.99999996121814783E-01,-0.9295467874056705,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,3.00000000000000008E-05,3.80536504435610434E-02,3.80630719810339177E-02,9.99999987161442249E-06,2.62721828563843289E-04,7.55746572293422569E-06,9.99999996121814450E-01,-1.2547066527209938,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,1.00000000000000005E-04,3.80536504434476133E-02,3.80630719810339177E-02,9.99999998045431915E-06,2.62721831423304980E-04,7.55746577822680177E-06,9.99999996121814450E-01,-1.5113192388837153,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,2.99999999999999974E-04,3.80536504434169295E-02,3.80630719810339177E-02,1.00000000042834803E-05,2.62721832049349173E-04,7.55746578617530473E-06,9.99999996121814450E-01,-0.6176699139797609,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,1.00000000000000002E-03,3.80536504434198786E-02,3.80630719810339177E-02,1.00000000015452295E-05,2.62721831977409323E-04,7.55746578359403620E-06,9.99999996121814450E-01,-1.1853868184277638,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,3.00000000000000006E-03,3.80536504434222725E-02,3.80630719810339177E-02,9.99999999973862847E-06,2.62721831929945988E-04,7.55746578417343384E-06,9.99999996121814450E-01,-0.5785039001250064,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_HIGH,D3,1.00000000000000002E-02,3.80536504434221823E-02,3.80630719810339177E-02,9.99999999986005403E-06,2.62721831933136090E-04,7.55746578382648915E-06,9.99999996121814561E-01,,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,9.99999999999999955E-08,4.16666666477167325E-02,4.16766666666666605E-02,1.00000189499428493E-05,2.39942868510185903E-04,5.00002234986307581E-06,9.99999999999999889E-01,-0.11501425071552597,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,2.99999999999999986E-07,4.16666666604560976E-02,4.16766666666666605E-02,1.00000062105746799E-05,2.39942562838711091E-04,5.00001530255589440E-06,1.00000000000000000E+00,-1.0389622195072332,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,9.99999999999999955E-07,4.16666666683436701E-02,4.16766666666666605E-02,9.99999832298526409E-06,2.39942373581986703E-04,5.00000267159364520E-06,1.00000000000000000E+00,-1.4817884198901483,0,1,APPROXIMATE_BOUNDED_BY_JNUM
FINAL_CLIP_LOW,D1,3.00000000000000008E-06,4.16666666672865782E-02,4.16766666666666605E-02,9.99999938008060349E-06,2.39942398946187406E-04,5.00000019599752821E-06,9.99999999999999889E-01,-0.9321663174965419,0,1,APPROXIMATE_BOUNDED_BY_JNUM
