state_id,direction_id,h,norm_fd,norm_ksp_d,absolute_error_l2,relative_error_l2,absolute_error_inf,cosine_similarity,observed_slope,residual_scale,scaled_norm_fd,scaled_norm_kd,scaled_absolute_error_l2,scaled_absolute_error_inf,branch_crossed,finite,classification,diagnostic_explanation
BETA_MIN_POS,D3,3.00000000000000006E-03,5.46291869107378858E+00,5.46291869107415007E+00,3.64279079689991702E-13,6.66821346408077496E-14,2.62012633811536893E-13,1.00000000000000000E+00,-0.6738693647702543,1.05764537477454006E+01,5.16517050172731862E-01,5.16517050172765946E-01,3.44424594838932322E-14,2.47732028202166107E-14,0,1,CONSISTENT_NUMERICALLY,NONE
BETA_MIN_POS,D3,1.00000000000000002E-02,5.46291869107422823E+00,5.46291869107415007E+00,1.61838655860348506E-13,2.96249431873796620E-14,1.19459997449666793E-13,1.00000000000000000E+00,,1.05764537477454006E+01,5.16517050172773384E-01,5.16517050172765946E-01,1.53017882666813442E-14,1.12949009468445197E-14,0,1,CONSISTENT_NUMERICALLY,NONE
FINAL_CLIP_HIGH,D1,9.99999999999999955E-08,5.63376654499471131E-09,6.28036983473510067E-16,5.63376676378179213E-09,1.00000003883495703E+00,3.88578103027725774E-09,-3.48366507145808801E-01,-3.7955367657540466e-08,2.93789794301346490E+01,1.91761819310034856E-10,2.13770864630280196E-17,1.91761826757096830E-10,1.32263989616042567E-10,0,1,INCONCLUSIVE,NONE
FINAL_CLIP_HIGH,D1,2.99999999999999986E-07,1.19789240080155603E-08,6.28036983473510067E-16,1.19789239737165907E-08,9.99999997136722940E-01,6.47630097698008009E-09,5.46130178871228819E-02,1.0305510145752333e-08,2.93789794301346490E+01,4.07737921478937485E-10,2.13770864630280196E-17,4.07737920311471105E-10,2.20439957500266308E-10,0,1,INCONCLUSIVE,NONE
FINAL_CLIP_HIGH,D1,9.99999999999999955E-07,3.59367720240466892E-09,6.28036983473510067E-16,3.59367723670371881E-09,1.00000000954427692E+00,1.94289073718323380E-09,-5.46130178871228680E-02,-5.145881334869948e-07,2.93789794301346490E+01,1.22321376443681266E-10,2.13770864630280196E-17,1.22321377611150334E-10,6.61320023659626951E-11,0,1,INCONCLUSIVE,NONE
FINAL_CLIP_HIGH,D1,3.00000000000000008E-06,4.03279164094427201E-10,6.28036983473510067E-16,4.03278939956539476E-10,9.99999444211584376E-01,2.77555756156289083E-10,3.56887126487677619E-01,1.4948173063744072e-06,2.93789794301346490E+01,1.37267928266008836E-11,2.13770864630280196E-17,1.37267851974084443E-11,9.44742675001141049E-12,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_HIGH,D1,1.00000000000000008E-05,1.78068836701966107E-10,6.28036983473510067E-16,1.78069058207416803E-10,1.00000124393158796E+00,1.22124976797977095E-10,-3.52693371341924411E-01,3.926821444280971e-06,2.93789794301346490E+01,6.06109674862691435E-12,2.13770864630280196E-17,6.06110428821661321E-12,4.15688288588782257E-12,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_HIGH,D1,3.00000000000000008E-05,4.03279164094427227E-11,6.28036983473510067E-16,4.03281405520244783E-11,1.00000555800055402E+00,2.77560197048387603E-11,-3.56887126487677619E-01,-1.4947828739848749e-05,2.93789794301346490E+01,1.37267928266008844E-12,2.13770864630280196E-17,1.37268691201230222E-12,9.44757790883941199E-13,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_HIGH,D1,1.00000000000000005E-04,1.78068836701966004E-11,6.28036983473510067E-16,1.78066621754132486E-11,9.99987561283183446E-01,1.22124532708767203E-11,3.52693371341924411E-01,1.1322278392783716e-05,2.93789794301346490E+01,6.06109674862691091E-13,2.13770864630280196E-17,6.06102135636085849E-13,4.15686777000502107E-13,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_HIGH,D1,2.99999999999999974E-04,0.00000000000000000E+00,6.28036983473510067E-16,6.28036983473510067E-16,1.00000000000000000E+00,4.44089209850062616E-16,0.00000000000000000E+00,0.00015395989858411029,2.93789794301346490E+01,0.00000000000000000E+00,2.13770864630280196E-17,2.13770864630280196E-17,1.51158828000182589E-17,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_HIGH,D1,1.00000000000000002E-03,1.20983749228328194E-12,6.28036983473510067E-16,1.21006177281868192E-12,1.00018538071173291E+00,8.33111357678717468E-13,-3.56887126487677619E-01,-0.0012253333375606046,2.93789794301346490E+01,4.11803784798026608E-14,2.13770864630280196E-17,4.11880125276746546E-14,2.83573961328342561E-14,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_HIGH,D1,3.00000000000000006E-03,1.87792218166490412E-13,6.28036983473510067E-16,1.87574354919276792E-13,9.98839870739369862E-01,1.29526019539601605E-13,3.48366507145808912E-01,0.0009641436478763484,2.93789794301346490E+01,6.39206064366782994E-15,2.13770864630280196E-17,6.38464502707938709E-15,4.40879915000532592E-15,0,1,NULLSPACE_CONSISTENT,NONE
FINAL_CLIP_HIGH,D1,1.00000000000000002E-02,0.00000000000000000E+00,6.28036983473510067E-16,6.28036983473510067E-16,1.00000000000000000E+00,4.44089209850062616E-16,0.00000000000000000E+00,,2.93789794301346490E+01,0.00000000000000000E+00,2.13770864630280196E-17,2.13770864630280196E-17,1.51158828000182589E-17,0,1,NULLSPACE_CONSISTENT,NONE
